,Account_Num,Provider_Num,Similar Score,Facility Name,Provider Name,Address,Provider Street Address
11160328,50236,254598,0.96,DANIELS MEMORIAL HOSPITAL,SALINE MEMORIAL HOSPITAL,105 5TH AVE E,#1 MEDICAL PARK DRIVE
10071003,80935,727521,0.96,CENTURA HEALTH-PENROSE-ST FRANCIS HEALTH SERVICES,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,2222 NORTH NEVADA AVE,2222 N NEVADA AVE
13133481,58317,445144,0.96,PRESTON MEMORIAL HOSPITAL,PERSON MEMORIAL HOSPITAL,150 MEMORIAL DRIVE,615 RIDGE RD
8800711,38285,515641,0.9583333333333334,ST MARYS MEDICAL CENTER,ST MARYS  MEDICAL CENTER,2635 N 7TH ST,2635 N 7TH STREET
8801746,38285,815904,0.9583333333333334,ST MARYS MEDICAL CENTER,ST MARY'S MEDICAL CENTER,2635 N 7TH ST,201 NW R D MIZE RD
8802893,38285,177880,0.9583333333333334,ST MARYS MEDICAL CENTER,ST MARY'S MEDICAL CENTER,2635 N 7TH ST,2900 1ST AVENUE
8801202,38285,598490,0.9583333333333334,ST MARYS MEDICAL CENTER,ST MARY'S MEDICAL CENTER,2635 N 7TH ST,3700 WASHINGTON AVE
4951584,75372,693145,0.9583333333333334,TOMAH MEMORIAL HOSPITAL,THOMAS MEMORIAL HOSPITAL,501 GOPHER DR,4605 MACCORKLE AVE SW
11165668,25122,129803,0.9583333333333334,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,1625 NORTH CAMPBELL AVENUE,1501 NORTH CAMPBELL AVENUE
8800915,38285,402102,0.9583333333333334,ST MARYS MEDICAL CENTER,ST MARY'S MEDICAL CENTER,2635 N 7TH ST,901 45TH ST
8800624,38285,889538,0.9583333333333334,ST MARYS MEDICAL CENTER,ST MARY'S MEDICAL CENTER,2635 N 7TH ST,450 STANYAN ST
4547434,73530,891943,0.9565217391304348,MARTIN GENERAL HOSPITAL,MARIN GENERAL HOSPITAL,310 S MCCASKEY RD P O BOX 1128,"250 BON AIR ROAD, PO BOX 8010"
4382917,19595,891943,0.9565217391304348,MARION GENERAL HOSPITAL,MARIN GENERAL HOSPITAL,1000 MCKINLEY PARK DRIVE,"250 BON AIR ROAD, PO BOX 8010"
8802424,38285,740900,0.9565217391304348,ST MARYS MEDICAL CENTER,ST MARY MEDICAL CENTER,2635 N 7TH ST,LANGHORNE-NEWTOWN RD
6594457,51390,891943,0.9565217391304348,MARION GENERAL HOSPITAL,MARIN GENERAL HOSPITAL,441 N WABASH AVE,"250 BON AIR ROAD, PO BOX 8010"
8801062,38285,353834,0.9565217391304348,ST MARYS MEDICAL CENTER,ST MARY MEDICAL CENTER,2635 N 7TH ST,3333 NORTH SEMINARY
12862285,20906,891943,0.9565217391304348,MARION GENERAL HOSPITAL,MARIN GENERAL HOSPITAL,1560 SUMRALL RD,"250 BON AIR ROAD, PO BOX 8010"
7845214,33868,639064,0.9565217391304348,HEDRICK MEDICAL CENTER,HENDRICK MEDICAL CENTER,2799 NORTH WASHINGTON STREET,1900 PINE
6687729,29752,633550,0.9565217391304348,ST JOHNS MEDICAL CENTER,ST JOHN MEDICAL CENTER,625 EAST BROADWAY,29000 CENTER RIDGE ROAD
8800543,38285,213184,0.9565217391304348,ST MARYS MEDICAL CENTER,ST MARY MEDICAL CENTER,2635 N 7TH ST,1050 LINDEN AVE
8800583,38285,580335,0.9565217391304348,ST MARYS MEDICAL CENTER,ST MARY MEDICAL CENTER,2635 N 7TH ST,18300 HIGHWAY 18
12746828,90213,179901,0.9545454545454546,ST ELIZABETHS HOSPITAL,ST ELIZABETH HOSPITAL,"1100 ALABAMA AVENUE, SE",211 S THIRD ST
12748630,90213,752491,0.9545454545454546,ST ELIZABETHS HOSPITAL,ST ELIZABETH HOSPITAL,"1100 ALABAMA AVENUE, SE",1506 S ONEIDA ST
3332275,22407,410425,0.9545454545454546,MOUNTAIN VIEW HOSPITAL,MOUNTAINVIEW HOSPITAL,3201 SCENIC HIGHWAY,3100 N TENAYA WAY
12801442,28531,410425,0.9545454545454546,MOUNTAIN VIEW HOSPITAL,MOUNTAINVIEW HOSPITAL,2325 CORONADO STREET,3100 N TENAYA WAY
7019074,87825,410425,0.9545454545454546,MOUNTAIN VIEW HOSPITAL,MOUNTAINVIEW HOSPITAL,1000 EAST 100 NORTH,3100 N TENAYA WAY
7886514,52158,661136,0.9545454545454546,GRITMAN MEDICAL CENTER,MARTIN MEDICAL CENTER,700 SOUTH MAIN STREET,200 SE HOSPITAL AVE
9618161,53375,736313,0.9523809523809523,BLAKE MEDICAL CENTER,DEKALB MEDICAL CENTER,2020 59TH ST W,2701 N DECATUR ROAD
7738124,60014,179684,0.9523809523809523,SAINT MARY'S HOSPITAL,SAINT MARYS HOSPITAL,56 FRANKLIN STEET,56 FRANKLIN ST
