,0,1,2,3,4,5
12,MỚI!! Chung cư Thái Thịnh- Ngã Tư Sở ( 25m2- 50m2 ) từ 650tr,"Quận Đống Đa, Hà Nội",590 triệu,52 m2,2 PN,1 WC
13,"Nhà Phố Đào Tấn, Liễu Giai, Ba Đình;DT 35M2x6T Giá 4.3 Tỷ","Quận Ba Đình, Hà Nội",4 tỷ 300 triệu,35 m2,3 PN,3 WC
14,Bán gấp - chủ đầu tư bán chung cư A5 phố Xã Đàn - Kim Liên - 560tr/căn,"Quận Đống Đa, Hà Nội",560 triệu,55 m2,2 PN,1 WC
15,"Lô Góc Xuân Đỉnh,Ngoại Giao Đoàn,Bắc Từ Liêm DT;35m2x5T Giá 3.75 Tỷ","Quận Bắc Từ Liêm, Hà Nội",3 tỷ 750 triệu,35 m2,3 PN,3 WC
16,"Nhà Phố Lạc Long Quân,Nghĩa Đô,Cầu Giấy.Full Đồ;DT 35Mx5T Giá 4.45 Tỷ","Quận Cầu Giấy, Hà Nội",4 tỷ 450 triệu,35 m2,3 PN,3 WC
17,"Chính chủ bán nhà đất mặt đường 19/5 Văn Quán, Hà Đông, diện tích 174m","Quận Hà Đông, Hà Nội",21 tỷ 800 triệu,174 m2,2 PN,1 WC
18,"Bán tòa nhà VP 1000m2 tại khu đô thị Kiến Hưng, Hà Đông, KD đỉnh","Quận Hà Đông, Hà Nội",35 tỷ 500 triệu,130 m2,15 PN,15 WC
19,"Đất Vĩnh Ngọc, Oto. DT 51m2, MT 4.6m. Giá: 3 Tỷ","Huyện Đông Anh, Hà Nội",3 tỷ,51 m2,0 PN,0 WC
20,"4 Tỷ Mới Tinh Phố Hoàng Hoa Thám,Vĩnh Phúc,Ba Đình;DT 35Mx5T","Quận Ba Đình, Hà Nội",4 tỷ,35 m2,3 PN,4 WC
21,"Bán Đất TĐC Giang Biên, VIEW vườn hoa, 40m, MT 3.4, nhỉnh 5 tỷ.","Quận Long Biên, Hà Nội",5 tỷ 200 triệu,40 m2,0 PN,0 WC
22,"Bán nhà Phố Chính Kinh, 45m2, 5 Tầng, Ô TÔ, 4.6 Tỷ","Quận Thanh Xuân, Hà Nội",4 tỷ 600 triệu,45 m2,0 PN,0 WC
23,"Sở hữu nhà đẹp ngõ 135 Đội Cấn chỉ 6.75 tỷ, 50m2x5T, căn góc, ở luôn","Quận Ba Đình, Hà Nội",6 tỷ 750 triệu,50 m2,6 PN,4 WC
24,"Bán chung cư mini h12 quan nhân-nhân hòa 600tr-780tr-1,2ty/căn","Quận Thanh Xuân, Hà Nội",600 triệu,30 m2,1 PN,1 WC
25,"Bán Nhanh 2 Lô Đất Cạnh Nhau, Sau Trường Cấp 3 Thạch bàn. Giá 3.8 Tỷ.","Quận Long Biên, Hà Nội",1 tỷ 900 triệu,38 m2,0 PN,0 WC
26,"Bán Tòa nhà VP đỉnh cao Phố NGUYÊN HỒNG 68m2, Mt 5M, Giá 17.8 Tỷ.","Quận Đống Đa, Hà Nội",17 tỷ 800 triệu,68 m2,6 PN,6 WC
27,"Bán nhà ngõ Nguyễn Khánh Toàn, Nghĩa Tân.Dt 50m;mt 5m;6 tầng, giá 10tỷ","Quận Cầu Giấy, Hà Nội",10 tỷ,50 m2,6 PN,6 WC
28,"Bán nhà Lâm Hạ, 163m2, 7 Tầng_Lô góc 2 MT_Doanh thu 100tr/tháng_33 tỷ","Quận Long Biên, Hà Nội",33 tỷ,163 m2,12 PN,12 WC
29,"Bán Đất TĐC Giang Biên, VIEW vườn hoa, 40m, MT 3.4, nhỉnh 5 tỷ.","Quận Long Biên, Hà Nội",5 tỷ 200 triệu,40 m2,0 PN,0 WC
30,"Bán nhà Phố Chính Kinh, 45m2, 5 Tầng, Ô TÔ, 4.6 Tỷ","Quận Thanh Xuân, Hà Nội",4 tỷ 600 triệu,45 m2,0 PN,0 WC
31,"Sở hữu nhà đẹp ngõ 135 Đội Cấn chỉ 6.75 tỷ, 50m2x5T, căn góc, ở luôn","Quận Ba Đình, Hà Nội",6 tỷ 750 triệu,50 m2,6 PN,4 WC
32,"Bán chung cư mini h12 quan nhân-nhân hòa 600tr-780tr-1,2ty/căn","Quận Thanh Xuân, Hà Nội",600 triệu,30 m2,1 PN,1 WC
33,"Bán Nhanh 2 Lô Đất Cạnh Nhau, Sau Trường Cấp 3 Thạch bàn. Giá 3.8 Tỷ.","Quận Long Biên, Hà Nội",1 tỷ 900 triệu,38 m2,0 PN,0 WC
34,"Bán Tòa nhà VP đỉnh cao Phố NGUYÊN HỒNG 68m2, Mt 5M, Giá 17.8 Tỷ.","Quận Đống Đa, Hà Nội",17 tỷ 800 triệu,68 m2,6 PN,6 WC
35,"Bán nhà ngõ Nguyễn Khánh Toàn, Nghĩa Tân.Dt 50m;mt 5m;6 tầng, giá 10tỷ","Quận Cầu Giấy, Hà Nội",10 tỷ,50 m2,6 PN,6 WC
36,"Hiếm ,Nhà Bán Phố Đại Cồ Việt Quận Hai Bà Trưng 46m×4T. Giá 6.9 Tỷ","Quận Hai Bà Trưng, Hà Nội",6 tỷ 900 triệu,46 m2,3 PN,3 WC
37,Nhà Ngã Tư Cầu Giấy 50m 5 tầng giá 15 tỷ có lẻ kinh doanh mọi loại hìn,"Quận Cầu Giấy, Hà Nội",15 tỷ 500 triệu,50 m2,4 PN,4 WC
38,"Bán Đất Hồng Tiến - Long Biên, 170m2, Mặt tiền 10m, Đường 10m_30 tỷ","Quận Long Biên, Hà Nội",30 tỷ,170 m2,0 PN,0 WC
39,"Bán Đất Giang Biên, ô tô tránh, DT 45m2, MT 3.9m. nhỉnh 3 tỷ.","Quận Long Biên, Hà Nội",3 tỷ 550 triệu,45 m2,0 PN,0 WC
40,"Bán nhà Phố Thịnh Quang, 44m2, Mặt tiền 4.2m, Ô TÔ, 4.6 Tỷ","Quận Đống Đa, Hà Nội",4 tỷ 600 triệu,44 m2,0 PN,0 WC
41,"Bán luôn nhà mặt ngõ Đội Cấn giá 5.55 tỷ, 42m2x4T, ngõ gần","Quận Ba Đình, Hà Nội",5 tỷ 550 triệu,42 m2,2 PN,3 WC
42,"Nhà đẹp 5 tầng, phố Thạch Bàn, gần hồ thoáng mát, đầy đủ nội thất - 3.","Quận Long Biên, Hà Nội",3 tỷ 150 triệu,30 m2,3 PN,4 WC
43,"Bán nhà THÁI HÀ ĐỐNG ĐA Ngõ Ô tô to 50m2, Mt 5M, Giá 9.2 Tỷ.","Quận Đống Đa, Hà Nội",9 tỷ 200 triệu,50 m2,6 PN,6 WC
44,"Lô Góc Phố Tôn Đức Thắng 35m,3 Ngủ.Giá 5.35 Tỷ","Quận Đống Đa, Hà Nội",5 tỷ 350 triệu,35 m2,3 PN,3 WC
45,"Siêu phẩm Nguyễn Khang Cầu Giấy 100 4 tầng giá 9,2 tỷ","Quận Cầu Giấy, Hà Nội",9 tỷ 200 triệu,100 m2,4 PN,4 WC
46,Mặt phố Việt Hưng 100m2_MT 6m_FULL Nội thất. K.Doanh đỉnh. Chỉ 14 tỷ 3,"Quận Long Biên, Hà Nội",14 tỷ 300 triệu,100 m2,4 PN,4 WC
47,"Bán nhà Phố Vĩnh Hồ, 44m2, Mặt tiền 4.2m, Ô TÔ, 4.6 Tỷ","Quận Đống Đa, Hà Nội",4 tỷ 600 triệu,44 m2,0 PN,0 WC
48,"Bán nhanh nhà mặt ngõ Phương Mai, giá 6,7 tỷ, 24m2x4T, lô góc, KD được","Quận Đống Đa, Hà Nội",6 tỷ 700 triệu,24 m2,2 PN,3 WC
49,"Mở bán chung cư mini Nguyễn Văn Cừ-Bồ Đề 35-55m2,full đồ","Quận Long Biên, Hà Nội",680 triệu,35 m2,2 PN,2 WC
50,"Bán Nhà 5 Tầng x 57m2 Ngõ 63 Cổ Linh, Cạnh Hồ Him Lam - 5.15 Tỷ.","Quận Long Biên, Hà Nội",5 tỷ 150 triệu,57 m2,6 PN,4 WC
51,"Bán nhà CHÙA LÁNG ĐỐNG ĐA Sát vách ĐH Ngoại Thương 60m2 x 5T, 14.7 Tỷ","Quận Đống Đa, Hà Nội",14 tỷ 700 triệu,60 m2,6 PN,6 WC
52,Siêu Hiếm.Bán Nhà 3T canh Vincom Nguyễn Chí Thanh l.Ngõ 3m,"Quận Đống Đa, Hà Nội",5 tỷ 600 triệu,37 m2,3 PN,3 WC
53,"Bán nhà ngõ Phạm Tuấn Tài, Cầu Giấy.Dt 60m; Mt 6,7m; 5 tầng, giá 6 tỷ","Quận Cầu Giấy, Hà Nội",6 tỷ,60 m2,10 PN,5 WC
54,Siêu phẩmTrần Cung Nghĩa Tân Cầu Giấy 55 5 tầng giá nhỉnh 9 tỷ,"Quận Cầu Giấy, Hà Nội",9 tỷ 400 triệu,55 m2,6 PN,5 WC
55,"MẶT PHỐ Trường Lâm 85m2, Đường 20m, Vỉa hè Kinh doanh. Chỉ 12 tỷ 15.","Quận Long Biên, Hà Nội",12 tỷ 150 triệu,85 m2,1 PN,1 WC
56,"Tôi bán nhà ngõ 165 Chợ Khâm Thiên chỉ 2.7 tỷ, 25m2x5T, 2 thoáng, mới","Quận Đống Đa, Hà Nội",2 tỷ 700 triệu,25 m2,2 PN,3 WC
57,Chính chủ mở bán chung cư mini trần khát chân-lõ đúc 30-55m,"Quận Hai Bà Trưng, Hà Nội",750 triệu,35 m2,2 PN,2 WC
58,Bán 47m2 Đất Tặng Nhà Cấp 4 Ngõ 26 Tư Đình - 2.9 Tỷ.,"Quận Long Biên, Hà Nội",2 tỷ 900 triệu,47 m2,0 PN,0 WC
59,"Bán nhà TAM KHƯƠNG, ĐỐNG ĐA Gần Phố, KD 90m2, Mt 6M, Giá 14.7 Tỷ.","Quận Đống Đa, Hà Nội",14 tỷ 700 triệu,90 m2,5 PN,5 WC
60,Bán Gấp Nhà 35m.Thang máy Vip Nhất Phố Vương Thừa Vũ,"Quận Thanh Xuân, Hà Nội",8 tỷ 800 triệu,35 m2,5 PN,6 WC
61,"Bán nhà Ngõ Hoàng Ngân, Trung Hòa.Dt 63m, Mt 5m, 4 tầng, giá 12 tỷ","Quận Cầu Giấy, Hà Nội",12 tỷ,63 m2,6 PN,4 WC
62,"Siêu phẩm Trần Quốc Vượng Cầu Giấy 69 7 tầng giá 12,9 tỷ","Quận Cầu Giấy, Hà Nội",12 tỷ 900 triệu,69 m2,10 PN,10 WC
63,"Nhà 5 tầng Ngô Gia Tự 65m2, Mặt Tiền Siêu lớn, Đường 20m. Chỉ 11 tỷ 8","Quận Long Biên, Hà Nội",12 tỷ 800 triệu,65 m2,4 PN,4 WC
64,"Bán gấp nhà siêu phẩm – Gần Royal City, 40M2x5T, MT 4M, Nhỉnh 3 Tỷ","Quận Thanh Xuân, Hà Nội",3 tỷ,40 m2,3 PN,3 WC
65,"Cần bán đất ngõ Chợ Khâm Thiên, giá 2,7 tỷ, 33m2x3T, ngõ thoáng ẢNH","Quận Đống Đa, Hà Nội",2 tỷ 700 triệu,33 m2,0 PN,0 WC
66,bán căn hộ chung cư mini mặt đường mỹ đình 50m2 /2pn,"Quận Nam Từ Liêm, Hà Nội",999 triệu,50 m2,2 PN,1 WC
67,"Chỉ 3.1 Tỷ Có Nhà Cấp 4 Cạnh Chợ Phúc Lợi, Kinh Doanh, Ô tô Tránh","Quận Long Biên, Hà Nội",3 tỷ 100 triệu,22 m2,0 PN,0 WC
68,"Bán nhà HUỲNH THÚC KHÁNG Mặt ngõ 3 Ô tô tránh 60m2, Mt 5M, Giá 15.5 Tỷ","Quận Đống Đa, Hà Nội",15 tỷ 500 triệu,60 m2,5 PN,5 WC
69,"Bán nhà Ngõ Trung Kính, Cầu Giấy.Dt 50m, mt 5m, 7 tầng, giá 14 tỷ","Quận Cầu Giấy, Hà Nội",14 tỷ,50 m2,7 PN,7 WC
70,Siêu phẩm Hoa Bằng Cầu Giấy 100 4 tầng giá nhỉnh 9 tỷ,"Quận Cầu Giấy, Hà Nội",9 tỷ 200 triệu,100 m2,4 PN,4 WC
71,Nhà Mặt Phố Nguyễn Sơn - 110M2 - Mặt Tiền 14M - Doanh Thu 80Tr/Tháng,"Quận Long Biên, Hà Nội",40 tỷ,110 m2,6 PN,6 WC
72,"Hiếm!!! Cần Bán Nhà Phố Cầu Giấy 35m2, 6 Tầng, Mặt tiền 4.6m, Giá 7 tỷ","Quận Cầu Giấy, Hà Nội",7 tỷ,35 m2,4 PN,4 WC
73,"Bán nhà Phố Vũ Tông Phan, 41m2, 5 Tầng, Ô TÔ gần, 4.5 Tỷ","Quận Thanh Xuân, Hà Nội",4 tỷ 500 triệu,41 m2,0 PN,0 WC
74,"Bán nhà ngõ 1 Đồng Nhân HBT giá 3.8 tỷ, 36m2x5T, MT 5m, vị trí đẹp","Quận Hai Bà Trưng, Hà Nội",3 tỷ 800 triệu,36 m2,3 PN,3 WC
75,"Bán chung cư mini quận cầu giấy-hồ tùng mậu 30-55m2,ở ngay","Quận Cầu Giấy, Hà Nội",680 triệu,30 m2,2 PN,2 WC
76,"Bán Nhà 3 Tầng Sài Đồng, Long Biên, Ngõ Thông, Cạnh May 10 Chỉ 1.5 Tỷ","Quận Long Biên, Hà Nội",1 tỷ 500 triệu,18 m2,3 PN,2 WC
77,"Bán nhà Mặt phố CHÙA LÁNG ĐỐNG ĐA Gần Đại Học Ngoại Thương 70m2, 26 Tỷ","Quận Đống Đa, Hà Nội",26 tỷ,70 m2,5 PN,5 WC
78,"Bán nhà ngõ Thái Hà, Đống Đa, Hà Nội. Dt 56m, mt 5,6m, 7 tầng; 15,5 tỷ","Quận Đống Đa, Hà Nội",15 tỷ 680 triệu,56 m2,4 PN,7 WC
79,Nhà Bán Phố Chùa Bộc 34m Vip Nhất Quận Đống Đa,"Quận Đống Đa, Hà Nội",6 tỷ 600 triệu,34 m2,3 PN,3 WC
80,"Bán nhà phố trần quốc Hoàn, Diện tích 50m2 xây 6 tầng, Mt 4,5m","Quận Cầu Giấy, Hà Nội",15 tỷ,50 m2,4 PN,6 WC
81,"Phân Lô, 2 Ô Tô Tránh_Vũ Xuân Thiều 5 Tầng Ở Ngay, Mặt Tiền 5M_6 Tỷ 8.","Quận Long Biên, Hà Nội",6 tỷ 800 triệu,52 m2,4 PN,4 WC
82,"Cần Bán Nhà Phố Duy Tân 55m2, Mặt tiền 4m, Giá 14,3 Tỷ, Ô tô vào nhà","Quận Cầu Giấy, Hà Nội",14 tỷ 300 triệu,55 m2,4 PN,4 WC
83,"Cực Hót! Phố Khương Trung, 43m2, MT 4.5m, Ô TÔ Gần, 4.65 TỶ.","Quận Thanh Xuân, Hà Nội",4 tỷ 650 triệu,43 m2,0 PN,0 WC
84,"Bán chung cư mini thanh xuân ,ngã tư sở 30-55m2,ở ngay","Quận Thanh Xuân, Hà Nội",680 triệu,30 m2,2 PN,2 WC
85,"Bán Nhanh 32m2 Đất, Cách 50m ra Ngã Tư Cổ Linh, Giá Chỉ 2.1 Tỷ.","Quận Long Biên, Hà Nội",2 tỷ 100 triệu,32 m2,0 PN,0 WC
86,"Bán nhà HOÀNG CẦU ĐỐNG ĐA Gần Quận Ủy 68m2 x 5T, Giá 13.5 Tỷ.","Quận Đống Đa, Hà Nội",13 tỷ 500 triệu,68 m2,4 PN,4 WC
87,"Vỡ Nợ Cần Bán Gấp Nhà 36m Phố Kim Đồng,Kinh Doanh,Ngõ Ô Tô Tránh","Quận Hoàng Mai, Hà Nội",8 tỷ 200 triệu,36 m2,6 PN,4 WC
88,"Bán nhà ngõ Lê Trọng Tấn, Thanh Xuân. Dt 40m; mt 5m; 5 tầng, giá 3 tỷ","Quận Thanh Xuân, Hà Nội",3 tỷ 200 triệu,40 m2,5 PN,5 WC
89,"Bán nhà mỹ đình, Diện tích 100m2 xây 8 tầng, 1 hầm , Mặt tiền 6,5m.","Quận Nam Từ Liêm, Hà Nội",35 tỷ,100 m2,8 PN,8 WC
90,Shophouse Nguyễn Sơn 100m2_Lô Góc 2 Mặt Tiền 14m_K.Doanh Đắc Địa_23 tỷ,"Quận Long Biên, Hà Nội",23 tỷ,100 m2,6 PN,6 WC
91,"Cần Bán Gấp! Nhà Phố Phạm Tuấn Tài 55m x5T, Giá 14,8 Tỷ, Mặt tiền 5m","Quận Cầu Giấy, Hà Nội",14 tỷ 800 triệu,55 m2,4 PN,4 WC
92,"Bán gấp nhà Phố Cự Lộc, 42m2, 5 Tầng, LÔ GÓC, 5 Tỷ.","Quận Thanh Xuân, Hà Nội",5 tỷ,42 m2,0 PN,0 WC
93,"bán căn tập thể Đá Hoa - An Dương, 2,35 tỷ, 70m2, tầng thấp, ẢNH THẬT","Quận Tây Hồ, Hà Nội",2 tỷ 350 triệu,70 m2,2 PN,2 WC
94,Bán chung cư mini quận đống đa-nhiều diện tích lựa trọn,"Quận Đống Đa, Hà Nội",620 triệu,30 m2,2 PN,0 WC
95,"Bán 42.8m2 Đất Phố Xuân Đỗ, Lô Góc, Ngõ Thông, Kinh Doanh Nhỏ - 2.99tỷ","Quận Long Biên, Hà Nội",2 tỷ 990 triệu,43 m2,0 PN,0 WC
96,"Bán nhà Hoàng Cầu Đống Đa Vỉa hè 3 Ô tô tránh 55m2, Mt 5M, Giá 15 Tỷ.","Quận Đống Đa, Hà Nội",15 tỷ,55 m2,4 PN,4 WC
97,Duy Nhất 1 Căn Phố Trường Chinh 40m.Kinh Doanh Theo Ý Muốn,"Quận Thanh Xuân, Hà Nội",8 tỷ 900 triệu,40 m2,5 PN,3 WC
98,"Chính chủ cần bán gấp nhà hoàng quốc việt, Diện tích 50m2 xây 5 tầng.","Quận Cầu Giấy, Hà Nội",6 tỷ 700 triệu,50 m2,8 PN,8 WC
99,"Bán Đất Cổ Linh_Đường 7m + Vỉa Hè, Kinh Doanh Đỉnh, Mặt Tiền Siêu Rộng","Quận Long Biên, Hà Nội",8 tỷ 400 triệu,120 m2,0 PN,0 WC
100,"Bán Gấp!! Nhà Phố Trần Quốc Hoàn 42m2, 6T, Giá chỉ 9,5 Tỷ, Ô tô đỗ cửa","Quận Cầu Giấy, Hà Nội",9 tỷ 500 triệu,42 m2,4 PN,4 WC
101,"Bán nhà Phố Hoàng Đạo Thành, 42m2, MT 4.4m, Ô TÔ, 4.6 Tỷ.","Quận Thanh Xuân, Hà Nội",4 tỷ 600 triệu,42 m2,0 PN,0 WC
102,"Siêu hot nhà ngõ phố Hoàng Mai 176m2x10T, giá 28.6 tỷ, MT khủng, KD lớ","Quận Hoàng Mai, Hà Nội",28 tỷ 600 triệu,176 m2,42 PN,45 WC
103,"mở bán chung cư mini ngọc hà-hoàng hoa thám 30-55m2,ở ngay","Quận Ba Đình, Hà Nội",780 triệu,32 m2,1 PN,1 WC
104,"Nhà 5 Tầng Đông Dư Dân Xây, Đường Kinh Doanh, Ô tô Tránh.","Huyện Gia Lâm, Hà Nội",5 tỷ 600 triệu,51 m2,4 PN,4 WC
105,"- Bán Tòa nhà VP 6 Tầng Tm Mặt Phố Hoàng Cầu 65m2, Mt 5M, Giá 24 Tỷ.","Quận Đống Đa, Hà Nội",24 tỷ,65 m2,6 PN,6 WC
106,Có Nên Mua Nhà Với Giá 7.8 Tỷ Nằm Trong Ngõ Phố Nguyễn Văn Trỗi,"Quận Thanh Xuân, Hà Nội",7 tỷ 800 triệu,57 m2,4 PN,3 WC
107,"Chủ nhờ bán căn nhà phố quan nhân, Diện tích 65m2 xây 9 tầng, Mt 5,5m","Quận Thanh Xuân, Hà Nội",19 tỷ 500 triệu,65 m2,8 PN,9 WC
108,Bán Nhà Nguyễn Văn Cừ_5 Tầng_Mặt tiền 5m_xe tải tránh_Kinh Doanh Đỉnh.,"Quận Long Biên, Hà Nội",9 tỷ 200 triệu,60 m2,4 PN,4 WC
109,"Bán Gấp!!! Nhà Quận Cầu Giấy-Phố Phan Văn Trường 45m2 X 5T, Giá 14 Tỷ","Quận Cầu Giấy, Hà Nội",14 tỷ,45 m2,4 PN,4 WC
110,"Bán nhà Phố Cù Chính Lan, 48m2, 5 Tầng, Ô TÔ QUA, Giá 5,2 tỷ.","Quận Thanh Xuân, Hà Nội",5 tỷ 400 triệu,48 m2,5 PN,0 WC
111,"Bán nhanh nhà ngõ Liên Việt- Nguyễn Lương Bằng, giá 9.5 tỷ, 40m2x7T, c","Quận Đống Đa, Hà Nội",9 tỷ 500 triệu,40 m2,5 PN,6 WC
112,Có Nên Mua Nhà Với Giá 7.8 Tỷ Nằm Trong Ngõ Phố Nguyễn Văn Trỗi,"Quận Thanh Xuân, Hà Nội",7 tỷ 800 triệu,57 m2,4 PN,3 WC
113,"Chủ nhờ bán căn nhà phố quan nhân, Diện tích 65m2 xây 9 tầng, Mt 5,5m","Quận Thanh Xuân, Hà Nội",19 tỷ 500 triệu,65 m2,8 PN,9 WC
114,Bán Nhà Nguyễn Văn Cừ_5 Tầng_Mặt tiền 5m_xe tải tránh_Kinh Doanh Đỉnh.,"Quận Long Biên, Hà Nội",9 tỷ 200 triệu,60 m2,4 PN,4 WC
115,"Bán Gấp!!! Nhà Quận Cầu Giấy-Phố Phan Văn Trường 45m2 X 5T, Giá 14 Tỷ","Quận Cầu Giấy, Hà Nội",14 tỷ,45 m2,4 PN,4 WC
116,"Bán nhà Phố Cù Chính Lan, 48m2, 5 Tầng, Ô TÔ QUA, Giá 5,2 tỷ.","Quận Thanh Xuân, Hà Nội",5 tỷ 400 triệu,48 m2,5 PN,0 WC
117,"Bán nhanh nhà ngõ Liên Việt- Nguyễn Lương Bằng, giá 9.5 tỷ, 40m2x7T, c","Quận Đống Đa, Hà Nội",9 tỷ 500 triệu,40 m2,5 PN,6 WC
118,mở bán chung cư mini xuân đỉnh-xuân la 650tr-890tr/căn,"Quận Bắc Từ Liêm, Hà Nội",650 triệu,35 m2,1 PN,1 WC
119,"Bán Nhà 5 Tầng Tư Đình, Bát Khối, Ô Tô Đỗ, ngõ Thông - 3.88 Tỷ.","Quận Long Biên, Hà Nội",3 tỷ 900 triệu,30 m2,3 PN,4 WC
120,"- Bán nhà NGUYÊN HỒNG ĐỐNG ĐA 60m2, Mt 5M, Giá 16.6 Tỷ.","Quận Đống Đa, Hà Nội",16 tỷ 600 triệu,60 m2,4 PN,4 WC
121,"Nhà Siêu Đẹp Phố Trường Chinh 45m.Ô tô Tránh,KD văn phòng","Quận Thanh Xuân, Hà Nội",11 tỷ 200 triệu,45 m2,4 PN,3 WC
122,"Cần bán nhà ngõ 322 mỹ đình, Diện tích 68m2 x 5 tầng, Mặt tiền 4,5m.","Quận Nam Từ Liêm, Hà Nội",7 tỷ 500 triệu,68 m2,6 PN,5 WC
123,"Biệt Thự Mặt Phố Chu Huy Mân 6 Tầng Thang Máy_K.Doanh đỉnh, 500tr/năm","Quận Long Biên, Hà Nội",10 tỷ 500 triệu,58 m2,6 PN,6 WC
124,"Gấp! Bán Nhà Đường Hoàng Quốc Việt 48m2, Giá 8.9 Tỷ, Mặt tiền 4,5m","Quận Cầu Giấy, Hà Nội",8 tỷ 900 triệu,48 m2,4 PN,4 WC
125,"Bán nhà Phố Thượng Đình, 44m2, MT 5m, Ô TÔ, 4.7 Tỷ","Quận Thanh Xuân, Hà Nội",4 tỷ 700 triệu,44 m2,0 PN,0 WC
126,"Bán chung cư mini ba đình đường đội cấn -hoàng hoa thám 600tr-1,2ty","Quận Ba Đình, Hà Nội",600 triệu,35 m2,2 PN,3 WC
127,"Bán 37.5m2 Đất Tổ 11 Ngọc Trì - Thạch Bàn, 8m ra Ô tÔ, 200m ra Cổ Linh","Quận Long Biên, Hà Nội",2 tỷ 350 triệu,38 m2,0 PN,0 WC
128,"Bán nhà Mặt Phố CHÙA LÁNG Gần Đại Học Ngoại Thương 60m2 x 5T, 23.2 Tỷ.","Quận Đống Đa, Hà Nội",23 tỷ 200 triệu,60 m2,4 PN,4 WC
129,Cưc Hiếm Phố Bạch Mai 36m.Thang Máy Gần Phố Ngõ Rộng 3m,"Quận Hai Bà Trưng, Hà Nội",7 tỷ 500 triệu,36 m2,4 PN,4 WC
130,"Bán nhà phố lê văn lương, cầu giấy, Diện tích 65m2, xây 5,5 tầng, mặt","Quận Cầu Giấy, Hà Nội",11 tỷ 500 triệu,65 m2,6 PN,8 WC
131,"BÁN NHÀ TƯ ĐÌNH 58m2_Lô Góc KDoanh, Ô tô Tránh_Gara 16 chỗ. Chỉ 6 tỷ 2","Quận Long Biên, Hà Nội",6 tỷ 200 triệu,58 m2,4 PN,4 WC
132,"Bán Gấp!!! Nhà Quận Cầu Giấy-Phố Trần Quốc Hoàn 50m2 X 5T, Giá 11.5 Tỷ","Quận Cầu Giấy, Hà Nội",11 tỷ 500 triệu,50 m2,4 PN,4 WC
133,Siêu phẩm Trần Thái Tông Cầu Giấy 100 4 tầng giá 9 tỷ lẻ 800,"Quận Cầu Giấy, Hà Nội",9 tỷ 800 triệu,100 m2,4 PN,4 WC
134,"Phân Lô, Phố Vương Thừa Vũ, 46m2, 5 Tầng, Ô TÔ, Ở, Giá 5.55 Tỷ.","Quận Thanh Xuân, Hà Nội",5 tỷ 550 triệu,46 m2,0 PN,0 WC
135,"Bán gấp nhà ngõ 505 Trần Khát Chân, HBT giá 2 tỷ, 20m2x3T, nở hậu đẹp","Quận Hai Bà Trưng, Hà Nội",2 tỷ,20 m2,2 PN,2 WC
136,Chung cư mini đê la thành -trung phụng 30-50m2,"Quận Đống Đa, Hà Nội",670 triệu,35 m2,2 PN,1 WC
