,Account_Num,Provider_Num,Similar Score,Facility Name,Provider Name,Address,Provider Street Address
14114118,89565,205441,1.0,REGIONAL MEDICAL CENTER,SAINT ALPHONSUS REGIONAL MEDICAL CENTER,709 W MAIN STREET,1055 NORTH CURTIS ROAD
14114121,89565,383031,1.0,REGIONAL MEDICAL CENTER,EASTERN IDAHO REGIONAL MEDICAL CENTER,709 W MAIN STREET,3100 CHANNING WAY
5208306,33716,403151,1.0,MEMORIAL HOSPITAL,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,1900 STATE ST,1400 E BOULDER ST
5526333,53951,401365,1.0,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,2425 GEARY BLVD,1200 EL CAMINO REAL
6310983,70854,201752,1.0,MEMORIAL HOSPITAL,MIZELL MEMORIAL HOSPITAL,1454 N COUNTY ROAD 2050 E,702 N MAIN ST
6310987,70854,227327,1.0,MEMORIAL HOSPITAL,HELEN KELLER MEMORIAL HOSPITAL,1454 N COUNTY ROAD 2050 E,1300 SOUTH MONTGOMERY AVENUE
11914943,31777,249684,1.0,MEMORIAL MEDICAL CENTER,MEMORIAL HERMANN TEXAS MEDICAL CENTER,815 N VIRGINIA STREET,6411 FANNIN
9464890,81438,630454,1.0,MEMORIAL HOSPITAL,UNIVERSITY OF MARYLAND HARFORD MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,501 SOUTH  UNION AVENUE
6846216,71440,304226,1.0,MEMORIAL HOSPITAL,DICKINSON COUNTY MEMORIAL HOSPITAL,209 NORTHWEST 8TH STREET,1721 S STEPHENSON AVE
9464898,81438,120222,1.0,MEMORIAL HOSPITAL,GARRETT COUNTY MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,251 NORTH  FOURTH STREET
9464903,81438,299700,1.0,MEMORIAL HOSPITAL,MEDSTAR UNION MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,201 EAST UNIVERSITY PARKWAY
9464914,81438,125430,1.0,MEMORIAL HOSPITAL,CALVERT MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,100 HOSPITAL ROAD
4612924,83304,898115,1.0,MEMORIAL HOSPITAL,SLIDELL MEMORIAL HOSPITAL,1401 WEST LOCUST,1001 GAUSE BLVD
14114177,89565,245215,1.0,REGIONAL MEDICAL CENTER,GATEWAY REGIONAL MEDICAL CENTER,709 W MAIN STREET,2100 MADISON AVENUE
6642568,44822,674417,1.0,COMMUNITY HOSPITAL,TOPPENISH COMMUNITY HOSPITAL,901 MACARTHUR BLVD,502 W FOURTH AVE
6945266,13791,227534,1.0,HIGHLANDS MEDICAL CENTER,HIGHLANDS REGIONAL MEDICAL CENTER,380 WOODS COVE ROAD,3600 S HIGHLANDS AVE
9464615,81438,621534,1.0,MEMORIAL HOSPITAL,JOHNSON MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,1125 W JEFFERSON ST
6846045,71440,626426,1.0,MEMORIAL HOSPITAL,BEAUREGARD MEMORIAL HOSPITAL,209 NORTHWEST 8TH STREET,600 S PINE STREET
14113892,89565,227534,1.0,REGIONAL MEDICAL CENTER,HIGHLANDS REGIONAL MEDICAL CENTER,709 W MAIN STREET,3600 S HIGHLANDS AVE
14113900,89565,861071,1.0,REGIONAL MEDICAL CENTER,MUNROE REGIONAL MEDICAL CENTER,709 W MAIN STREET,1500 SW 1ST AVE
6846048,71440,819181,1.0,MEMORIAL HOSPITAL,LAKE CHARLES MEMORIAL HOSPITAL,209 NORTHWEST 8TH STREET,1701 OAK PARK BLVD
14113905,89565,202481,1.0,REGIONAL MEDICAL CENTER,VENICE REGIONAL MEDICAL CENTER - BAYFRONT HEALTH,709 W MAIN STREET,540 THE RIALTO
14113912,89565,223997,1.0,REGIONAL MEDICAL CENTER,LEESBURG REGIONAL MEDICAL CENTER,709 W MAIN STREET,600 E DIXIE AVE
6846052,71440,182030,1.0,MEMORIAL HOSPITAL,WEST CARROLL MEMORIAL HOSPITAL,209 NORTHWEST 8TH STREET,706 ROSS STREET
14113920,89565,596884,1.0,REGIONAL MEDICAL CENTER,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,709 W MAIN STREET,368 NE FRANKLIN ST
14113923,89565,625325,1.0,REGIONAL MEDICAL CENTER,LEHIGH REGIONAL MEDICAL CENTER,709 W MAIN STREET,1500 LEE BLVD
14113925,89565,690188,1.0,REGIONAL MEDICAL CENTER,OSCEOLA REGIONAL MEDICAL CENTER,709 W MAIN STREET,700 WEST OAK STREET
9464670,81438,153304,1.0,MEMORIAL HOSPITAL,MEMORIAL HOSPITAL AND HEALTH CARE CENTER,1110 NORTH SARAH DEWITT DRIVE,800 W 9TH ST
9464768,81438,807864,1.0,MEMORIAL HOSPITAL,FLAGET MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,4305 NEW SHEPHERDSVILLE ROAD
9464622,81438,408449,1.0,MEMORIAL HOSPITAL,CLARK MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,1220 MISSOURI AVE
8247144,74347,570505,1.0,RIO GRANDE HOSPITAL,RIO GRANDE REGIONAL HOSPITAL,310 COUNTY RD 14,101 E RIDGE RD
9464634,81438,424588,1.0,MEMORIAL HOSPITAL,HENRY COUNTY MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,1000 N 16TH ST
14113795,89565,233112,1.0,REGIONAL MEDICAL CENTER,MERCY REGIONAL MEDICAL CENTER,709 W MAIN STREET,1010 THREE SPRINGS BLVD
14113809,89565,392327,1.0,REGIONAL MEDICAL CENTER,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,709 W MAIN STREET,1100 CARSON AVENUE
9464646,81438,506300,1.0,MEMORIAL HOSPITAL,MEMORIAL HOSPITAL OF SOUTH BEND,1110 NORTH SARAH DEWITT DRIVE,615 N MICHIGAN ST
4612865,83304,807864,1.0,MEMORIAL HOSPITAL,FLAGET MEMORIAL HOSPITAL,1401 WEST LOCUST,4305 NEW SHEPHERDSVILLE ROAD
1426263,45243,861572,1.0,SUMMIT MEDICAL CENTER,TRISTAR SUMMIT MEDICAL CENTER,6350 E 2ND STREET,5655 FRIST BLVD
1827879,60941,550468,1.0,VALLEY HOSPITAL,ALLEGHENY VALLEY HOSPITAL,223 N VAN DIEN AVENUE,1301 CARLISLE ST
9464660,81438,723760,1.0,MEMORIAL HOSPITAL,INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,2401 UNIVERSITY AVE
6846040,71440,898115,1.0,MEMORIAL HOSPITAL,SLIDELL MEMORIAL HOSPITAL,209 NORTHWEST 8TH STREET,1001 GAUSE BLVD
14113872,89565,157846,1.0,REGIONAL MEDICAL CENTER,HOLMES REGIONAL MEDICAL CENTER,709 W MAIN STREET,1350 S HICKORY ST
14113929,89565,459783,1.0,REGIONAL MEDICAL CENTER,BARTOW REGIONAL MEDICAL CENTER,709 W MAIN STREET,2200 OSPREY BLVD
6313565,70854,557241,1.0,MEMORIAL HOSPITAL,REYNOLDS MEMORIAL HOSPITAL,1454 N COUNTY ROAD 2050 E,800 WHEELING AVE
14113972,89565,426508,1.0,REGIONAL MEDICAL CENTER,WESTSIDE REGIONAL MEDICAL CENTER,709 W MAIN STREET,8201 W BROWARD BLVD
6846111,71440,120222,1.0,MEMORIAL HOSPITAL,GARRETT COUNTY MEMORIAL HOSPITAL,209 NORTHWEST 8TH STREET,251 NORTH  FOURTH STREET
9464742,81438,767221,1.0,MEMORIAL HOSPITAL,LAWRENCE MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,325 MAINE STREET
14113978,89565,392733,1.0,REGIONAL MEDICAL CENTER,GULF COAST REGIONAL MEDICAL CENTER,709 W MAIN STREET,449 W 23RD ST
14113981,89565,406993,1.0,REGIONAL MEDICAL CENTER,LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,709 W MAIN STREET,1700 S 23RD ST
14113983,89565,616593,1.0,REGIONAL MEDICAL CENTER,SEVEN RIVERS REGIONAL MEDICAL CENTER,709 W MAIN STREET,6201 N SUNCOAST BLVD
6846116,71440,299700,1.0,MEMORIAL HOSPITAL,MEDSTAR UNION MEMORIAL HOSPITAL,209 NORTHWEST 8TH STREET,201 EAST UNIVERSITY PARKWAY
5464802,85600,438672,1.0,MEMORIAL HOSPITAL,MEMORIAL HOSPITAL AND MANOR,1204 MOUND ST,1500 E SHOTWELL STREET
1827959,60941,245234,1.0,VALLEY HOSPITAL,LEHIGH VALLEY HOSPITAL - HAZLETON,223 N VAN DIEN AVENUE,700 EAST BROAD STREET
1827983,60941,392682,1.0,VALLEY HOSPITAL,LEHIGH VALLEY HOSPITAL - MUHLENBERG,223 N VAN DIEN AVENUE,2545 SCHOENERSVILLE ROAD
14113986,89565,714756,1.0,REGIONAL MEDICAL CENTER,CAPITAL REGIONAL MEDICAL CENTER,709 W MAIN STREET,2626 CAPITAL MEDICAL BLVD
14113988,89565,559938,1.0,REGIONAL MEDICAL CENTER,REGIONAL MEDICAL CENTER BAYONET POINT,709 W MAIN STREET,14000 FIVAY RD
6846127,71440,125430,1.0,MEMORIAL HOSPITAL,CALVERT MEMORIAL HOSPITAL,209 NORTHWEST 8TH STREET,100 HOSPITAL ROAD
9464759,81438,282191,1.0,MEMORIAL HOSPITAL,HARDIN MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,913 NORTH DIXIE AVENUE
5049013,78872,163388,1.0,MEMORIAL HOSPITAL,SANTA ROSA MEMORIAL HOSPITAL,511 NE 10TH ST,1165 MONTGOMERY DR
6642566,44822,820861,1.0,COMMUNITY HOSPITAL,GRAYS HARBOR COMMUNITY HOSPITAL,901 MACARTHUR BLVD,915 ANDERSON DRIVE
6846103,71440,630454,1.0,MEMORIAL HOSPITAL,UNIVERSITY OF MARYLAND HARFORD MEMORIAL HOSPITAL,209 NORTHWEST 8TH STREET,501 SOUTH  UNION AVENUE
5050094,78872,688441,1.0,MEMORIAL HOSPITAL,LAKEVIEW MEMORIAL HOSPITAL,511 NE 10TH ST,927 WEST CHURCHILL STREET
14113938,89565,808200,1.0,REGIONAL MEDICAL CENTER,HEART OF FLORIDA REGIONAL MEDICAL CENTER,709 W MAIN STREET,40100 US HWY 27 N
14113945,89565,792528,1.0,REGIONAL MEDICAL CENTER,LAKELAND REGIONAL MEDICAL CENTER,709 W MAIN STREET,1324 LAKELAND HILLS BLVD
9464722,81438,101305,1.0,MEMORIAL HOSPITAL,RANSOM MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,1301 S MAIN STREET
11914958,31777,140140,1.0,MEMORIAL MEDICAL CENTER,CONNALLY MEMORIAL MEDICAL CENTER,815 N VIRGINIA STREET,499 10TH STREET
14113961,89565,834700,1.0,REGIONAL MEDICAL CENTER,NORTH FLORIDA REGIONAL MEDICAL CENTER,709 W MAIN STREET,6500 NEWBERRY RD
1827934,60941,626831,1.0,VALLEY HOSPITAL,LEHIGH VALLEY HOSPITAL,223 N VAN DIEN AVENUE,1200 SOUTH CEDAR CREST BOULVARD
9464724,81438,103951,1.0,MEMORIAL HOSPITAL,SUSAN B ALLEN MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,720 W CENTRAL ST
6846102,71440,250081,1.0,MEMORIAL HOSPITAL,FREDERICK MEMORIAL HOSPITAL,209 NORTHWEST 8TH STREET,400 WEST SEVENTH ST
14113963,89565,303792,1.0,REGIONAL MEDICAL CENTER,KENDALL REGIONAL MEDICAL CENTER,709 W MAIN STREET,11750 BIRD RD
1827941,60941,263862,1.0,VALLEY HOSPITAL,MONONGAHELA VALLEY HOSPITAL,223 N VAN DIEN AVENUE,1163 COUNTRY CLUB ROAD
6846094,71440,426188,1.0,MEMORIAL HOSPITAL,FRANKLIN MEMORIAL HOSPITAL,209 NORTHWEST 8TH STREET,111 FRANKLIN HEALTH COMMONS
6846096,71440,414446,1.0,MEMORIAL HOSPITAL,MAINE COAST MEMORIAL HOSPITAL,209 NORTHWEST 8TH STREET,50 UNION STREET
14113965,89565,784374,1.0,REGIONAL MEDICAL CENTER,OCALA REGIONAL MEDICAL CENTER,709 W MAIN STREET,1431 SW 1ST AVE
1827946,60941,574073,1.0,VALLEY HOSPITAL,OHIO VALLEY GENERAL HOSPITAL,223 N VAN DIEN AVENUE,25 HECKEL ROAD
6846296,71440,688441,1.0,MEMORIAL HOSPITAL,LAKEVIEW MEMORIAL HOSPITAL,209 NORTHWEST 8TH STREET,927 WEST CHURCHILL STREET
9465049,81438,362590,1.0,MEMORIAL HOSPITAL,CHIPPEWA COUNTY WAR MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,500 OSBORN BLVD
6846304,71440,315381,1.0,MEMORIAL HOSPITAL,RICE MEMORIAL HOSPITAL,209 NORTHWEST 8TH STREET,301 BECKER AVE SW
14114508,89565,126760,1.0,REGIONAL MEDICAL CENTER,ST MARYS REGIONAL MEDICAL CENTER,709 W MAIN STREET,93 CAMPUS AVENUE - PO BOX 7291
14114528,89565,111172,1.0,REGIONAL MEDICAL CENTER,PENINSULA REGIONAL MEDICAL CENTER,709 W MAIN STREET,100 EAST CARROLL AVENUE
14114532,89565,151328,1.0,REGIONAL MEDICAL CENTER,WESTERN MARYLAND REGIONAL MEDICAL CENTER,709 W MAIN STREET,12500 WILLOWBROOK ROAD
14114539,89565,176211,1.0,REGIONAL MEDICAL CENTER,UNIVERSITY OF MD CHARLES REGIONAL  MEDICAL CENTER,709 W MAIN STREET,5 GARRETT AVENUE
14114549,89565,518540,1.0,REGIONAL MEDICAL CENTER,LAUREL REGIONAL MEDICAL CENTER,709 W MAIN STREET,7300 VAN DUSEN ROAD
6313569,70854,693145,1.0,MEMORIAL HOSPITAL,THOMAS MEMORIAL HOSPITAL,1454 N COUNTY ROAD 2050 E,4605 MACCORKLE AVE SW
4626504,92635,817037,1.0,GOOD SAMARITAN HOSPITAL,MEDSTAR GOOD SAMARITAN HOSPITAL,375 DIXMYTH AVENUE,5601 LOCH RAVEN BOULEVARD
11635008,35551,639452,1.0,WADLEY REGIONAL MEDICAL CENTER,WADLEY REGIONAL MEDICAL CENTER AT HOPE,1000 PINE STREET,2001 SOUTH MAIN
9465266,81438,712711,1.0,MEMORIAL HOSPITAL,FRISBIE MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,11 WHITEHALL ROAD
14114445,89565,495952,1.0,REGIONAL MEDICAL CENTER,TECHE REGIONAL MEDICAL CENTER,709 W MAIN STREET,1125 MARGUERITE STREET
6311045,70854,824535,1.0,MEMORIAL HOSPITAL,FAIRBANKS MEMORIAL HOSPITAL,1454 N COUNTY ROAD 2050 E,1650 COWLES STREET
14114449,89565,600145,1.0,REGIONAL MEDICAL CENTER,LANE REGIONAL MEDICAL CENTER,709 W MAIN STREET,6300 MAIN STREET
14114450,89565,656779,1.0,REGIONAL MEDICAL CENTER,RAPIDES REGIONAL MEDICAL CENTER,709 W MAIN STREET,211 4TH STREET
13965340,87023,719304,1.0,ALTA BATES SUMMIT MEDICAL CENTER,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,350 HAWTHORNE AVENUE,2450 ASHBY AVENUE
5050126,78872,642762,1.0,MEMORIAL HOSPITAL,BAPTIST MEMORIAL HOSPITAL NORTH MS,511 NE 10TH ST,2301 SOUTH LAMAR
14114464,89565,345826,1.0,REGIONAL MEDICAL CENTER,OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER,709 W MAIN STREET,5000 HENNESSY BLVD
13510511,58442,869178,1.0,ST MARY'S MEDICAL CENTER,ST MARY'S OF MICHIGAN MEDICAL CENTER,201 NW R D MIZE RD,800 S WASHINGTON AVENUE
14114482,89565,166321,1.0,REGIONAL MEDICAL CENTER,GLENWOOD REGIONAL MEDICAL CENTER,709 W MAIN STREET,503 MCMILLAN ROAD
14114484,89565,799101,1.0,REGIONAL MEDICAL CENTER,MERCY REGIONAL MEDICAL CENTER,709 W MAIN STREET,800 E MAIN
14114486,89565,167881,1.0,REGIONAL MEDICAL CENTER,LAKEVIEW REGIONAL MEDICAL CENTER,709 W MAIN STREET,95 JUDGE TANNER BOULEVARD
5050132,78872,894462,1.0,MEMORIAL HOSPITAL,ST DOMINIC-JACKSON MEMORIAL HOSPITAL,511 NE 10TH ST,969 LAKELAND DR
9465262,81438,181964,1.0,MEMORIAL HOSPITAL,MARY HITCHCOCK MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,1 MEDICAL CENTER DRIVE
6846475,71440,181964,1.0,MEMORIAL HOSPITAL,MARY HITCHCOCK MEMORIAL HOSPITAL,209 NORTHWEST 8TH STREET,1 MEDICAL CENTER DRIVE
7574520,32003,452382,1.0,MADISON HEALTH,MERIT HEALTH MADISON,210 NORTH MAIN STREET,161 RIVER OAKS DRIVE
103134,66907,228256,1.0,ST JOSEPH'S HOSPITAL,ST JOSEPH'S HOSPITAL - SAVANNAH,45 WEST 10TH STREET,11705 MERCY BOULEVARD
14114592,89565,582260,1.0,REGIONAL MEDICAL CENTER,MILFORD REGIONAL MEDICAL CENTER,709 W MAIN STREET,14 PROSPECT STREET
14114758,89565,423357,1.0,REGIONAL MEDICAL CENTER,DELTA REGIONAL MEDICAL CENTER,709 W MAIN STREET,1400 E UNION ST
14114765,89565,103586,1.0,REGIONAL MEDICAL CENTER,SOUTHWEST MS REGIONAL MEDICAL CENTER,709 W MAIN STREET,215 MARION AV BOX 1307
6846524,71440,703339,1.0,MEMORIAL HOSPITAL,VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY,209 NORTHWEST 8TH STREET,175 MADISON AVE
14114785,89565,874234,1.0,REGIONAL MEDICAL CENTER,TWIN RIVERS REGIONAL MEDICAL CENTER,709 W MAIN STREET,1301 FIRST ST
14114786,89565,243750,1.0,REGIONAL MEDICAL CENTER,PHELPS COUNTY REGIONAL MEDICAL CENTER,709 W MAIN STREET,1000 W 10TH ST
14114797,89565,752938,1.0,REGIONAL MEDICAL CENTER,CAMERON REGIONAL MEDICAL CENTER,709 W MAIN STREET,1600 E EVERGREEN
14114804,89565,830965,1.0,REGIONAL MEDICAL CENTER,MOBERLY REGIONAL MEDICAL CENTER,709 W MAIN STREET,1515 UNION AVE
5208741,33716,708485,1.0,MEMORIAL HOSPITAL,NORTHWESTERN MEMORIAL HOSPITAL,1900 STATE ST,251 E HURON ST
5049006,78872,190089,1.0,MEMORIAL HOSPITAL,SIERRA NEVADA MEMORIAL HOSPITAL,511 NE 10TH ST,155 GLASSON WAY
3238037,35745,164485,1.0,ST JOSEPH'S HOSPITAL,ST JOSEPH'S HOSPITAL HEALTH CENTER,1 AMALIA DRIVE,301 PROSPECT AVENUE
10110904,71888,137448,1.0,SWEDISH MEDICAL CENTER,SWEDISH MEDICAL CENTER / CHERRY HILL,501 E HAMPDEN AVE,500 17TH AVENUE
5049007,78872,894631,1.0,MEMORIAL HOSPITAL,SAINT FRANCIS MEMORIAL HOSPITAL,511 NE 10TH ST,900 HYDE ST
14114645,89565,883525,1.0,REGIONAL MEDICAL CENTER,WEST BRANCH REGIONAL MEDICAL CENTER,709 W MAIN STREET,2463 SOUTH M-30
9465311,81438,703339,1.0,MEMORIAL HOSPITAL,VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY,1110 NORTH SARAH DEWITT DRIVE,175 MADISON AVE
14114669,89565,549644,1.0,REGIONAL MEDICAL CENTER,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK,709 W MAIN STREET,ONE GENESYS PARKWAY
9465325,81438,422272,1.0,MEMORIAL HOSPITAL,MEMORIAL HOSPITAL OF SALEM COUNTY,1110 NORTH SARAH DEWITT DRIVE,310 WOODSTOWN ROAD
3239722,42921,212601,1.0,NORTHSIDE HOSPITAL,NORTHSIDE HOSPITAL CHEROKEE,6000 49TH ST N,201 HOSPITAL ROAD
7763165,36781,683779,1.0,SAMARITAN MEDICAL CENTER,GOOD SAMARITAN MEDICAL CENTER,830 WASHINGTON STREET,235 NORTH PEARL STREET
4613011,83304,125430,1.0,MEMORIAL HOSPITAL,CALVERT MEMORIAL HOSPITAL,1401 WEST LOCUST,100 HOSPITAL ROAD
6846479,71440,712711,1.0,MEMORIAL HOSPITAL,FRISBIE MEMORIAL HOSPITAL,209 NORTHWEST 8TH STREET,11 WHITEHALL ROAD
14114723,89565,447894,1.0,REGIONAL MEDICAL CENTER,ST FRANCIS REGIONAL MEDICAL CENTER,709 W MAIN STREET,1455 ST FRANCIS AVENUE
